city,lat,long,temp,humidity,cloud,wind
avera,33.19,-82.53,13.01,95,90,1.5
ati,13.22,18.34,26.68,14,86,5.33
pacific grove,36.62,-121.92,13.34,80,54,0.45
sehithwa,-20.47,22.72,19.01,40,0,3.41
puerto el triunfo,13.28,-88.55,26.0,88,75,0.5
tasiilaq,65.61,-37.64,0.0,90,100,0.5
hamilton,39.18,-84.53,8.47,87,1,1.71
bathsheba,13.22,-59.52,27.0,69,20,7.2
bambanglipuro,-7.95,110.28,30.25,66,83,0.56
buraydah,26.33,43.98,20.0,60,20,5.7
del rio,29.36,-100.9,26.71,20,1,3.1
taoudenni,22.68,-3.98,24.06,24,0,2.25
kalengwa,-13.47,25.0,14.28,68,4,1.74
kirovskiy,45.09,133.51,9.77,57,100,6.68
vanersborg,58.38,12.32,1.0,86,0,2.13
vao,-22.67,167.48,23.32,91,100,6.64
norman wells,65.28,-126.83,-2.0,74,90,1.5
port alfred,-33.59,26.89,20.56,66,0,0.89
saint-leu,-21.15,55.28,19.91,73,75,10.3
clyde river,70.47,-68.59,-18.0,64,1,1.5
port-gentil,-0.72,8.78,26.56,83,100,1.34
manaure,11.78,-72.44,26.7,72,84,5.53
linhares,-19.39,-40.07,19.73,90,17,1.89
tevaitoa,-16.78,-151.5,28.73,75,50,9.07
sitka,57.05,-135.33,6.77,87,90,1.5
sioux lookout,50.1,-91.92,1.18,55,90,8.2
horasan,40.05,42.17,6.38,42,31,1.36
la rioja,42.25,-2.5,8.62,93,75,2.1
okhotsk,59.38,143.3,-6.21,82,13,4.39
lebu,-37.62,-73.65,13.1,72,100,4.03
vila do maio,15.13,-23.22,21.0,68,20,7.7
zaltan,32.95,11.87,23.36,54,75,10.36
coihaique,-45.58,-72.07,4.0,93,75,1.5
uto,32.68,130.67,16.03,77,75,3.1
moses lake,47.13,-119.28,18.74,28,1,4.1
yar-sale,66.83,70.83,1.17,98,100,3.32
xuddur,4.12,43.89,24.43,69,100,2.43
longyearbyen,78.22,15.64,-2.0,86,90,15.4
najran,17.49,44.13,21.0,73,40,2.1
chiredzi,-21.05,31.67,15.44,83,0,0.68
goderich,43.75,-81.72,2.22,62,0,5.1
cabo san lucas,22.89,-109.91,21.41,53,5,1.5
manggar,-2.88,108.27,30.77,62,12,1.6
anadyr,64.75,177.48,-7.12,79,40,3.0
celestun,20.87,-90.4,27.5,79,0,5.17
bhinmal,25.0,72.25,29.01,40,100,4.26
callaguip,18.07,120.49,29.0,83,20,4.1
ascension,30.22,-90.9,24.96,83,90,6.7
ondjiva,-17.07,15.73,19.03,61,83,2.34
puerto colombia,10.99,-74.95,27.0,78,89,5.1
pangody,65.85,74.49,0.6,93,85,5.69
geraldton,-28.77,114.6,22.47,53,0,4.1
shache,38.42,77.24,13.67,47,99,1.71
acapulco,16.86,-99.89,26.0,88,5,1.13
garissa,-0.45,39.64,24.71,74,100,4.82
los llanos de aridane,28.66,-17.92,17.0,67,1,2.6
sturgis,41.8,-85.42,6.03,52,1,1.5
grand-lahou,5.14,-5.02,27.22,88,100,3.85
clemson,34.68,-82.84,12.18,87,90,1.29
ozernovskiy,51.5,156.52,-1.65,90,76,4.19
faanui,-16.48,-151.75,27.91,77,81,8.58
hasaki,35.73,140.83,10.0,93,75,5.1
porto walter,-8.27,-72.74,20.61,66,0,0.97
codrington,-38.27,141.97,16.33,54,19,9.49
acajutla,13.59,-89.83,22.22,96,8,1.34
chicontepec,20.97,-98.17,25.39,68,0,0.97
nalut,30.33,10.85,17.81,44,75,12.39
kahului,20.89,-156.47,24.82,51,75,4.1
deputatskiy,69.3,139.9,-12.25,87,26,2.77
sao joao da barra,-21.64,-41.05,20.6,84,99,3.17
mogadishu,2.04,45.34,28.06,74,99,5.11
hithadhoo,-0.6,73.08,29.38,76,100,5.14
bima,-8.47,118.72,31.91,57,26,1.19
fortuna,40.6,-124.16,10.8,81,90,2.6
manokwari,-0.87,134.08,30.06,64,4,1.88
siverek,37.76,39.32,14.0,71,53,5.7
porto novo,6.5,2.6,27.0,83,40,2.1
saint george,37.1,-113.58,20.23,24,1,4.6
san remo,43.82,7.76,14.12,77,75,6.2
samarai,-10.62,150.67,29.23,74,85,3.39
praia da vitoria,38.73,-27.07,13.0,71,40,6.26
barrow,71.29,-156.79,-11.0,78,90,4.1
hobart,-42.88,147.33,15.43,67,40,6.7
nouna,12.73,-3.87,30.73,40,98,2.67
severodvinsk,64.56,39.83,0.0,98,90,2.0
palmer,42.16,-72.33,9.55,61,1,5.7
svetlaya,46.54,138.33,6.22,69,100,2.35
sakaraha,-22.9,44.53,18.0,59,0,1.47
san ramon de la nueva oran,-23.13,-64.33,17.78,96,0,0.99
nome,64.5,-165.41,2.34,93,90,1.5
viedma,-40.81,-63.0,15.95,53,93,5.02
meadow lake,34.8,-106.54,15.62,18,75,6.2
fairbanks,64.84,-147.72,6.16,87,90,4.6
lagoa,39.05,-27.98,13.77,60,0,5.83
erenhot,43.65,111.98,-0.25,44,0,10.93
huilong,31.81,121.66,17.31,69,23,1.91
vaini,-21.2,-175.2,29.0,70,20,4.1
bagdarin,54.43,113.6,-4.8,58,28,4.89
kanakapura,12.55,77.42,25.0,83,20,2.35
nuuk,64.18,-51.72,-1.0,54,65,13.9
yichang,30.71,111.28,15.34,79,100,2.26
jamestown,42.1,-79.24,4.66,80,90,3.6
port hardy,50.7,-127.42,11.0,76,20,4.6
siniscola,40.57,9.69,14.92,90,100,4.02
plettenberg bay,-34.05,23.37,18.13,66,0,1.04
carupano,10.67,-63.26,23.56,89,35,2.71
richards bay,-28.78,32.04,19.37,80,0,3.97
port elizabeth,-33.92,25.57,22.0,37,0,6.7
bardsir,29.92,56.57,10.0,76,40,2.1
farafangana,-22.82,47.83,23.23,79,20,2.05
menongue,-14.66,17.69,15.66,60,73,1.77
beira,-19.84,34.84,20.95,91,9,5.86
camacha,33.08,-16.33,16.41,77,40,5.7
maniitsoq,65.42,-52.9,-2.34,94,100,11.01
vilyuysk,63.76,121.62,-4.46,91,98,2.76
rikitea,-23.12,-134.97,24.91,71,93,3.02
pop,40.87,71.11,17.0,48,0,1.0
saldanha,-33.01,17.94,15.0,82,92,4.6
qaanaaq,77.48,-69.36,-12.54,82,39,5.13
blagoyevo,63.37,47.92,1.25,91,100,2.03
thaba-tseka,-29.52,28.61,5.79,38,0,0.77
itarema,-2.92,-39.92,25.04,87,21,0.87
neustrelitz,53.37,13.08,1.1,81,0,0.45
